elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
26.0,1992-08-01,2000-03-31,22.333,"KING S PARK, CH",1.0,GHCND:CHM00045004,METERS,114.167
62.0,1946-09-01,1992-06-30,22.3,"HONG KONG OBSERVATORY, CH",0.7818,GHCND:CHM00045005,METERS,114.167
179.0,1954-01-01,2023-08-30,51.717,"HUMA, CH",1.0,GHCND:CHM00050353,METERS,126.65
733.0,1957-01-01,2023-08-30,50.45,"TULIHE, CH",1.0,GHCND:CHM00050434,METERS,121.7
650.0,1951-01-01,2023-08-30,49.25,"HAILAR, CH",1.0,GHCND:CHM00050527,METERS,119.7
243.0,1951-01-01,2023-08-30,49.167,"NENJIANG, CH",1.0,GHCND:CHM00050557,METERS,125.233
235.0,1954-01-01,2023-08-30,49.433,"SUNWU, CH",1.0,GHCND:CHM00050564,METERS,127.35
739.0,1951-01-01,2023-08-30,48.767,"BUGT, CH",1.0,GHCND:CHM00050632,METERS,121.917
237.0,1951-01-01,2023-08-30,48.05,"KESHAN, CH",1.0,GHCND:CHM00050658,METERS,125.883
997.0,1952-01-01,2023-08-30,47.167,"ARXAN, CH",1.0,GHCND:CHM00050727,METERS,119.933
148.0,1951-01-01,2023-08-30,47.383,"QIQIHAR, CH",1.0,GHCND:CHM00050745,METERS,123.917
240.0,1952-01-01,2023-08-30,47.433,"HAILUN, CH",1.0,GHCND:CHM00050756,METERS,126.967
65.0,1952-01-01,2023-08-30,47.233,"FUJIN, CH",1.0,GHCND:CHM00050788,METERS,131.983
150.0,1952-01-01,2023-08-30,46.383,"ANDA, CH",1.0,GHCND:CHM00050854,METERS,125.317
840.0,1955-01-01,2023-08-30,45.517,"ULIASTAI, CH",1.0,GHCND:CHM00050915,METERS,116.967
136.0,1952-01-01,2023-08-30,45.083,"QIAN GORLOS, CH",1.0,GHCND:CHM00050949,METERS,124.867
143.0,1951-01-01,2023-08-30,45.75,"HARBIN, CH",1.0,GHCND:CHM00050953,METERS,126.767
110.0,1952-01-01,2023-08-30,45.967,"TONGHE, CH",1.0,GHCND:CHM00050963,METERS,128.733
191.0,1952-01-01,2023-08-30,45.217,"SHANGZHI, CH",1.0,GHCND:CHM00050968,METERS,127.967
234.0,1951-01-01,2023-08-30,45.283,"JIXI, CH",1.0,GHCND:CHM00050978,METERS,130.949
737.0,1954-01-01,2023-08-30,47.733,"ALTAY, CH",1.0,GHCND:CHM00051076,METERS,88.083
827.0,1956-08-01,2023-08-30,46.983,"FUYUN, CH",1.0,GHCND:CHM00051087,METERS,89.517
1294.0,1953-01-01,2023-08-30,46.783,"HOBOKSAR, CH",1.0,GHCND:CHM00051156,METERS,85.717
428.0,1956-01-01,2023-08-30,45.6,"KARAMAY, CH",1.0,GHCND:CHM00051243,METERS,84.85
321.0,1953-01-01,2023-08-30,44.617,"JINGHE, CH",1.0,GHCND:CHM00051334,METERS,82.9
794.0,1951-01-01,2023-08-30,44.017,"QITAI, CH",1.0,GHCND:CHM00051379,METERS,89.567
664.0,1951-01-01,2023-04-27,43.95,"YINING, CH",1.0,GHCND:CHM00051431,METERS,81.333
947.0,1951-01-01,2023-08-30,43.8,"WU LU MU QI, CH",1.0,GHCND:CHM00051463,METERS,87.65
37.0,1951-01-01,2023-08-30,42.933,"TURPAN, CH",0.9987,GHCND:CHM00051573,METERS,89.2
